Date,Raw_TDS,Treated_TDS,Raw_Turbidity,Treated_Turbidity,TDS_Efficiency,Turbidity_Efficiency
2025-07-01,928,365,68.4,8.2,60.7,88.0
2025-07-02,915,352,65.7,7.9,61.5,88.0
2025-07-03,967,398,76.2,9.1,58.8,88.1
2025-07-04,892,338,59.3,7.0,62.1,88.2
2025-07-07,934,369,70.1,8.4,60.5,88.0
2025-07-08,876,329,57.8,6.9,62.5,88.1
2025-07-09,958,385,74.6,8.9,59.8,88.1
2025-07-10,889,341,60.4,7.2,61.6,88.1
2025-07-11,912,356,63.8,7.6,61.0,88.1
2025-07-14,845,312,52.7,6.3,63.1,88.0
2025-07-15,873,327,56.9,6.8,62.6,88.0
2025-07-16,921,362,67.3,8.1,60.7,88.0
2025-07-17,854,308,51.2,6.1,63.9,88.1
2025-07-18,887,334,58.4,7.0,62.3,88.0
2025-07-21,802,285,42.1,5.0,64.5,88.1
2025-07-22,819,291,44.7,5.3,64.5,88.1
2025-07-23,835,298,47.2,5.6,64.3,88.1
2025-07-24,768,272,38.9,4.6,64.6,88.2
2025-07-25,791,280,41.3,4.9,64.6,88.1
2025-07-28,824,293,45.6,5.4,64.4,88.2
2025-07-29,807,286,43.1,5.1,64.6,88.2
2025-07-30,843,299,48.7,5.8,64.5,88.1
2025-07-31,782,277,40.2,4.8,64.6,88.1
2025-08-01,865,307,52.4,6.2,64.5,88.2
2025-08-04,756,268,36.8,4.4,64.6,88.0
2025-08-05,789,280,41.5,4.9,64.5,88.2
2025-08-06,734,260,34.2,4.1,64.6,88.0
2025-08-07,812,288,43.9,5.2,64.5,88.2
2025-08-08,745,264,35.7,4.3,64.6,88.0
2025-08-11,823,292,45.1,5.4,64.5,88.0
2025-08-12,798,283,42.3,5.0,64.6,88.2
2025-08-13,769,273,39.4,4.7,64.5,88.1
2025-08-14,856,304,51.8,6.2,64.5,88.0
2025-09-01,823,292,45.1,5.4,64.5,88.0
2025-09-02,798,283,42.3,5.0,64.6,88.2
2025-09-03,856,304,51.8,6.2,64.5,88.0
2025-09-04,789,280,41.5,4.9,64.5,88.2
2025-09-05,812,288,43.9,5.2,64.5,88.2
2025-09-08,765,271,38.7,4.6,64.6,88.1
2025-09-09,834,296,47.2,5.6,64.5,88.1
2025-09-10,791,281,42.1,5.0,64.5,88.1
2025-09-11,817,290,44.3,5.3,64.5,88.0
2025-09-12,784,278,40.9,4.9,64.5,88.0
2025-09-15,852,302,49.7,5.9,64.6,88.1
2025-09-16,789,280,41.5,4.9,64.5,88.2
2025-09-17,823,292,45.1,5.4,64.5,88.0
2025-09-18,765,271,38.7,4.6,64.6,88.1
2025-09-19,834,296,47.2,5.6,64.5,88.1
2025-10-01,789,280,41.5,4.9,64.5,88.2
2025-10-02,765,271,38.7,4.6,64.6,88.1
2025-10-03,823,292,45.1,5.4,64.5,88.0
2025-10-06,812,288,43.9,5.2,64.5,88.2
2025-10-07,789,280,41.5,4.9,64.5,88.2
2025-10-08,834,296,47.2,5.6,64.5,88.1
2025-10-09,765,271,38.7,4.6,64.6,88.1
2025-10-10,823,292,45.1,5.4,64.5,88.0
2025-11-03,734,260,34.2,4.1,64.6,88.0
2025-11-04,756,268,36.8,4.4,64.6,88.0
2025-11-05,789,280,41.5,4.9,64.5,88.2
2025-11-06,723,256,32.1,3.8,64.6,88.2
2025-11-07,745,264,35.7,4.3,64.6,88.0
2025-11-10,678,240,29.4,3.5,64.6,88.1
2025-11-11,712,252,31.8,3.8,64.6,88.1
2025-11-12,689,244,30.2,3.6,64.6,88.1
2025-11-13,734,260,34.2,4.1,64.6,88.0
2025-11-14,665,236,28.1,3.4,64.5,88.0
2025-12-01,654,232,27.3,3.3,64.5,88.0
